City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Vilyuysk,RU,2021-03-30 21:10:30,63.7553,121.6247,14.94,92,100,5.26
119,Sarnia,CA,2021-03-30 21:10:25,42.9787,-82.4041,68.0,36,1,31.07
120,Victoria,HK,2021-03-30 21:08:43,22.2855,114.1577,78.01,85,16,1.99
121,Kaitangata,NZ,2021-03-30 21:10:31,-46.2817,169.8464,55.29,95,96,3.4
122,Buraydah,SA,2021-03-30 21:10:19,26.326,43.975,73.4,27,0,13.8
123,Lima,PE,2021-03-30 21:10:31,-12.0432,-77.0282,73.99,73,75,11.5
124,Oktyabrskiy,RU,2021-03-30 21:10:31,54.4815,53.471,21.69,98,27,5.97
125,Baisha,CN,2021-03-30 21:10:32,26.5222,110.9311,69.75,97,100,2.13
126,Sakakah,SA,2021-03-30 21:10:21,29.9697,40.2064,68.0,15,62,11.5
127,Hovd,MN,2021-03-30 21:10:32,48.0056,91.6419,25.93,44,9,5.1
128,Pozo Colorado,PY,2021-03-30 21:10:33,-23.4923,-58.7972,82.9,36,2,7.16
129,West Wendover,US,2021-03-30 21:10:33,40.7391,-114.0733,46.4,23,1,12.66
130,Mozarlandia,BR,2021-03-30 21:10:33,-14.7447,-50.5706,83.95,58,17,5.61
131,Cherskiy,RU,2021-03-30 21:10:33,68.75,161.3,-6.02,97,41,3.27
132,Letka,RU,2021-03-30 21:10:34,59.6011,49.4232,32.04,95,100,15.19
133,Odweyne,SO,2021-03-30 21:10:34,9.4092,45.064,75.56,30,75,4.76
134,Meulaboh,ID,2021-03-30 21:10:34,4.1363,96.1285,75.25,88,100,5.3
135,Olafsvik,IS,2021-03-30 21:10:35,64.8945,-23.7142,37.9,66,19,11.21
136,Hobart,AU,2021-03-30 21:05:38,-42.8794,147.3294,55.99,82,75,8.05
137,The Valley,AI,2021-03-30 21:10:35,18.217,-63.0578,80.6,74,40,18.41
138,Jamestown,US,2021-03-30 21:09:09,42.097,-79.2353,66.2,24,1,21.85
139,Manokwari,ID,2021-03-30 21:10:36,-0.8667,134.0833,77.94,79,100,3.22
140,Bima,ID,2021-03-30 21:10:36,-8.4667,118.7167,75.11,93,92,3.85
141,Hithadhoo,MV,2021-03-30 21:10:34,-0.6,73.0833,83.41,75,76,18.05
142,Charlestown,AU,2021-03-30 21:10:37,-32.95,151.6667,62.01,94,99,6.96
143,Luderitz,NA,2021-03-30 21:10:37,-26.6481,15.1594,63.73,80,0,10.69
144,Cabo San Lucas,MX,2021-03-30 21:10:37,22.8909,-109.9124,84.2,21,1,11.5
145,Korla,CN,2021-03-30 21:08:39,41.7597,86.1469,39.87,79,100,10.45
146,Busselton,AU,2021-03-30 21:09:59,-33.65,115.3333,57.99,96,34,1.01
147,Otradnoye,RU,2021-03-30 21:10:27,59.7775,30.8181,41.0,93,90,15.66
148,Avarua,CK,2021-03-30 21:09:27,-21.2078,-159.775,80.6,83,40,10.36
149,Aden,YE,2021-03-30 21:09:32,12.7794,45.0367,82.06,56,15,10.56
150,Miyako,JP,2021-03-30 21:10:38,39.6367,141.9525,47.82,87,98,5.88
151,Constitucion,CL,2021-03-30 21:10:38,-35.3333,-72.4167,62.26,74,7,8.1
152,Sola,VU,2021-03-30 21:10:39,-13.8833,167.55,81.95,74,100,11.21
153,Richards Bay,ZA,2021-03-30 21:08:43,-28.783,32.0377,68.86,80,2,11.56
154,Butaritari,KI,2021-03-30 21:10:39,3.0707,172.7902,82.42,77,95,17.83
155,Minot,US,2021-03-30 21:10:39,48.2325,-101.2963,26.6,43,75,33.38
156,Pevek,RU,2021-03-30 21:10:40,69.7008,170.3133,-13.97,99,95,7.96
157,Port Macquarie,AU,2021-03-30 21:10:40,-31.4333,152.9167,62.01,83,95,1.99
158,Ndago,TZ,2021-03-30 21:10:40,-4.6,34.35,60.71,96,93,3.4
159,Karatuzskoye,RU,2021-03-30 21:10:41,53.6072,92.8667,23.38,84,85,6.49
160,Alofi,NU,2021-03-30 21:10:41,-19.0595,-169.9187,82.4,83,75,11.5
161,Xining,CN,2021-03-30 21:10:14,36.6167,101.7667,37.78,62,100,2.21
162,Sayville,US,2021-03-30 21:10:41,40.7359,-73.0821,55.0,58,20,10.36
163,Port Shepstone,ZA,2021-03-30 21:10:42,-30.7414,30.455,69.93,86,9,14.54
164,Sheopur,IN,2021-03-30 21:10:42,25.6667,76.7,76.82,4,1,4.25
165,Tessalit,ML,2021-03-30 21:10:42,20.1986,1.0114,77.4,5,19,11.25
166,Mbumi,TZ,2021-03-30 21:10:43,-7.9058,39.2105,73.27,92,82,3.96
167,Acapulco,MX,2021-03-30 21:06:13,16.8634,-99.8901,87.8,55,1,12.66
168,San Policarpo,PH,2021-03-30 21:10:43,12.1791,125.5072,78.03,85,83,6.89
169,Ponta Do Sol,PT,2021-03-30 21:10:43,32.6667,-17.1,60.01,74,19,3.0
170,Pasco,US,2021-03-30 21:06:55,28.292,-82.4165,90.0,61,40,11.5
171,Iqaluit,CA,2021-03-30 21:08:15,63.7506,-68.5145,-4.0,65,20,20.71
172,Barrow,US,2021-03-30 21:10:44,71.2906,-156.7887,-5.8,65,1,28.77
173,Sao Joao Da Barra,BR,2021-03-30 21:10:44,-21.6403,-41.0511,80.6,78,40,9.22
174,Havre-Saint-Pierre,CA,2021-03-30 21:10:45,50.2334,-63.5986,26.6,63,1,20.71
